id;Topic_id;Article_id;created_at
359;39;174;now()
360;39;175;now()
361;39;176;now()
362;39;177;now()
363;39;178;now()
364;40;168;now()
365;41;169;now()
366;42;170;now()
367;43;171;now()
368;44;172;now()
369;45;173;now()
370;46;174;now()
371;47;175;now()
372;48;176;now()
373;49;177;now()
374;50;178;now()
375;51;179;now()
404;18;4;now()
405;18;5;now()
